   1 | 12/22/2021 | 23:45:26 | Unknown #0xff |  | Asserted
   2 | 12/23/2021 | 00:07:36 | Button #0xff | Power Button pressed () | Asserted
   3 | 12/27/2021 | 11:01:52 | System Event #0xff | PEF Action () | Asserted
   4 | 12/27/2021 | 11:02:29 | System Event #0xff | PEF Action () | Asserted
   5 | 01/18/2022 | 22:57:19 | System Event #0xff | PEF Action () | Asserted
   6 | 01/18/2022 | 22:57:48 | System Event #0xff | PEF Action () | Asserted
   7 | 01/19/2022 | 11:26:33 | System Event #0xff | PEF Action () | Asserted
   8 | 01/19/2022 | 11:27:02 | System Event #0xff | PEF Action () | Asserted
   9 | 01/25/2022 | 23:01:09 | System Event #0xff | PEF Action () | Asserted
   a | 01/25/2022 | 23:01:37 | System Event #0xff | PEF Action () | Asserted
   b | 02/03/2022 | 13:00:55 | System Event #0xff | PEF Action () | Asserted
   c | 02/03/2022 | 13:01:26 | System Event #0xff | PEF Action () | Asserted
   d | 02/07/2022 | 16:00:49 | System Event #0xff | PEF Action () | Asserted
   e | 02/07/2022 | 16:01:32 | System Event #0xff | PEF Action () | Asserted
   f | 02/22/2022 | 11:01:14 | System Event #0xff | PEF Action () | Asserted
  10 | 02/22/2022 | 11:01:43 | System Event #0xff | PEF Action () | Asserted
  11 | 03/04/2022 | 18:08:11 | System Event #0xff | PEF Action () | Asserted
  12 | 03/04/2022 | 18:08:41 | System Event #0xff | PEF Action () | Asserted
  13 | 03/09/2022 | 18:31:32 | System Event #0xff | PEF Action () | Asserted
  14 | 03/09/2022 | 18:31:32 | System Event #0xff | PEF Action () | Asserted
  15 | 03/09/2022 | 18:31:43 | Button #0xff | Power Button pressed () | Asserted
  16 | 03/19/2022 | 10:00:39 | System Event #0xff | PEF Action () | Asserted
  17 | 03/19/2022 | 10:01:02 | System Event #0xff | PEF Action () | Asserted
  18 | 03/28/2022 | 10:01:08 | System Event #0xff | PEF Action () | Asserted
  19 | 03/28/2022 | 10:01:34 | System Event #0xff | PEF Action () | Asserted
  1a | 03/28/2022 | 23:00:45 | System Event #0xff | PEF Action () | Asserted
  1b | 03/28/2022 | 23:01:18 | System Event #0xff | PEF Action () | Asserted
  1c | 04/04/2022 | 10:00:54 | System Event #0xff | PEF Action () | Asserted
  1d | 04/04/2022 | 10:01:23 | System Event #0xff | PEF Action () | Asserted
  1e | 04/13/2022 | 22:01:33 | System Event #0xff | PEF Action () | Asserted
  1f | 04/13/2022 | 22:02:00 | System Event #0xff | PEF Action () | Asserted
  20 | 04/27/2022 | 22:01:17 | System Event #0xff | PEF Action () | Asserted
  21 | 04/27/2022 | 22:01:45 | System Event #0xff | PEF Action () | Asserted
  22 | 05/06/2022 | 13:01:36 | System Event #0xff | PEF Action () | Asserted
  23 | 05/06/2022 | 13:01:59 | System Event #0xff | PEF Action () | Asserted
  24 | 05/16/2022 | 14:00:54 | System Event #0xff | PEF Action () | Asserted
  25 | 05/16/2022 | 14:01:31 | System Event #0xff | PEF Action () | Asserted
  26 | 06/09/2022 | 00:00:51 | System Event #0xff | PEF Action () | Asserted
  27 | 06/09/2022 | 00:01:31 | System Event #0xff | PEF Action () | Asserted
  28 | 06/23/2022 | 00:01:05 | System Event #0xff | PEF Action () | Asserted
  29 | 06/23/2022 | 00:01:48 | System Event #0xff | PEF Action () | Asserted
  2a | 07/08/2022 | 09:00:40 | System Event #0xff | PEF Action () | Asserted
  2b | 07/08/2022 | 09:01:09 | System Event #0xff | PEF Action () | Asserted
  2c | 07/22/2022 | 09:00:59 | System Event #0xff | PEF Action () | Asserted
  2d | 07/22/2022 | 09:01:35 | System Event #0xff | PEF Action () | Asserted
  2e | 07/23/2022 | 06:00:41 | System Event #0xff | PEF Action () | Asserted
  2f | 07/23/2022 | 06:01:14 | System Event #0xff | PEF Action () | Asserted
  30 | 08/06/2022 | 06:01:25 | System Event #0xff | PEF Action () | Asserted
  31 | 08/06/2022 | 06:01:52 | System Event #0xff | PEF Action () | Asserted
  32 | 08/20/2022 | 16:01:23 | System Event #0xff | PEF Action () | Asserted
  33 | 08/20/2022 | 16:01:56 | System Event #0xff | PEF Action () | Asserted
  34 | 09/03/2022 | 16:01:31 | System Event #0xff | PEF Action () | Asserted
  35 | 09/03/2022 | 16:02:08 | System Event #0xff | PEF Action () | Asserted
  36 | 09/08/2022 | 16:00:39 | System Event #0xff | PEF Action () | Asserted
  37 | 09/08/2022 | 16:01:10 | System Event #0xff | PEF Action () | Asserted
