  50 | 02/16/2023 | 12:01:59 | System Event #0xff | PEF Action () | Asserted
  51 | 03/02/2023 | 14:01:05 | System Event #0xff | PEF Action () | Asserted
  52 | 03/02/2023 | 14:01:40 | System Event #0xff | PEF Action () | Asserted
  53 | 03/16/2023 | 14:01:16 | System Event #0xff | PEF Action () | Asserted
  54 | 03/16/2023 | 14:01:53 | System Event #0xff | PEF Action () | Asserted
  55 | 03/23/2023 | 14:01:09 | System Event #0xff | PEF Action () | Asserted
  56 | 03/23/2023 | 14:01:40 | System Event #0xff | PEF Action () | Asserted
  57 | 04/06/2023 | 12:01:12 | System Event #0xff | PEF Action () | Asserted
  58 | 04/06/2023 | 12:02:07 | System Event #0xff | PEF Action () | Asserted
  59 | 04/10/2023 | 13:01:25 | System Event #0xff | PEF Action () | Asserted
  5a | 04/10/2023 | 13:02:03 | System Event #0xff | PEF Action () | Asserted
  5b | 04/23/2023 | 17:00:57 | System Event #0xff | PEF Action () | Asserted
  5c | 04/23/2023 | 17:01:56 | System Event #0xff | PEF Action () | Asserted
  5d | 05/08/2023 | 10:01:06 | System Event #0xff | PEF Action () | Asserted
  5e | 05/08/2023 | 10:02:05 | System Event #0xff | PEF Action () | Asserted
  5f | 05/22/2023 | 10:01:05 | System Event #0xff | PEF Action () | Asserted
  60 | 05/22/2023 | 10:01:46 | System Event #0xff | PEF Action () | Asserted
  61 | 06/01/2023 | 12:01:03 | System Event #0xff | PEF Action () | Asserted
  62 | 06/01/2023 | 12:01:38 | System Event #0xff | PEF Action () | Asserted
  63 | 06/14/2023 | 12:01:04 | System Event #0xff | PEF Action () | Asserted
  64 | 06/14/2023 | 12:01:39 | System Event #0xff | PEF Action () | Asserted
  65 | 06/26/2023 | 17:00:58 | System Event #0xff | PEF Action () | Asserted
  66 | 06/26/2023 | 17:01:29 | System Event #0xff | PEF Action () | Asserted
  67 | 07/05/2023 | 14:01:23 | System Event #0xff | PEF Action () | Asserted
  68 | 07/05/2023 | 14:02:05 | System Event #0xff | PEF Action () | Asserted
  69 | 07/18/2023 | 18:00:47 | System Event #0xff | PEF Action () | Asserted
  6a | 07/18/2023 | 18:01:32 | System Event #0xff | PEF Action () | Asserted
  6b | 08/01/2023 | 18:01:11 | System Event #0xff | PEF Action () | Asserted
  6c | 08/01/2023 | 18:01:47 | System Event #0xff | PEF Action () | Asserted
  6d | 08/14/2023 | 15:00:54 | System Event #0xff | PEF Action () | Asserted
  6e | 08/14/2023 | 15:01:42 | System Event #0xff | PEF Action () | Asserted
  6f | 08/28/2023 | 15:00:51 | System Event #0xff | PEF Action () | Asserted
  70 | 08/28/2023 | 15:01:41 | System Event #0xff | PEF Action () | Asserted
  71 | 09/12/2023 | 10:01:11 | System Event #0xff | PEF Action () | Asserted
  72 | 09/12/2023 | 10:01:50 | System Event #0xff | PEF Action () | Asserted
  73 | 09/14/2023 | 10:01:26 | System Event #0xff | PEF Action () | Asserted
  74 | 09/14/2023 | 10:02:03 | System Event #0xff | PEF Action () | Asserted
  75 | 09/28/2023 | 10:01:27 | System Event #0xff | PEF Action () | Asserted
  76 | 09/28/2023 | 10:01:58 | System Event #0xff | PEF Action () | Asserted
  77 | 09/30/2023 | 09:01:28 | System Event #0xff | PEF Action () | Asserted
  78 | 09/30/2023 | 09:01:59 | System Event #0xff | PEF Action () | Asserted
  79 | 10/14/2023 | 09:01:00 | System Event #0xff | PEF Action () | Asserted
  7a | 10/14/2023 | 09:01:37 | System Event #0xff | PEF Action () | Asserted
  7b | 10/27/2023 | 20:01:05 | System Event #0xff | PEF Action () | Asserted
  7c | 10/27/2023 | 20:02:23 | System Event #0xff | PEF Action () | Asserted
  7d | 11/02/2023 | 20:01:02 | System Event #0xff | PEF Action () | Asserted
  7e | 11/02/2023 | 20:02:42 | System Event #0xff | PEF Action () | Asserted
  7f | 11/15/2023 | 12:01:09 | System Event #0xff | PEF Action () | Asserted
  80 | 11/15/2023 | 12:02:36 | System Event #0xff | PEF Action () | Asserted
  81 | 11/20/2023 | 13:00:48 | System Event #0xff | PEF Action () | Asserted
