   1 | 12/22/2021 | 23:54:42 | Unknown #0xff |  | Asserted
   2 | 12/23/2021 | 00:12:34 | Button #0xff | Power Button pressed () | Asserted
   3 | 12/27/2021 | 11:16:28 | System Event #0xff | PEF Action () | Asserted
   4 | 12/27/2021 | 11:17:11 | System Event #0xff | PEF Action () | Asserted
   5 | 07/09/2022 | 16:14:03 | Memory | Correctable ECC (@DIMMF1(CPU2)) | Asserted
   6 | 09/14/2022 | 14:22:20 | System Event #0xff | PEF Action () | Asserted
   7 | 09/14/2022 | 14:23:02 | System Event #0xff | PEF Action () | Asserted
   8 | 09/26/2022 | 06:32:21 | System Event #0xff | PEF Action () | Asserted
   9 | 09/26/2022 | 06:32:48 | System Event #0xff | PEF Action () | Asserted
   a | 09/26/2022 | 11:39:52 | Unknown |  | Asserted
   b | 09/26/2022 | 11:39:52 | Unknown |  | Asserted
   c | 09/26/2022 | 11:57:03 | Unknown |  | Asserted
   d | 09/26/2022 | 11:57:03 | Unknown |  | Asserted
   e | 09/26/2022 | 11:58:49 | Unknown |  | Asserted
   f | 09/27/2022 | 17:10:48 | System Event #0xff | PEF Action () | Asserted
  10 | 09/27/2022 | 17:11:18 | System Event #0xff | PEF Action () | Asserted
  11 | 09/27/2022 | 17:11:59 | Unknown #0xff |  | Asserted
  12 | 09/27/2022 | 17:32:42 | Unknown #0xff |  | Asserted
  13 | 09/30/2022 | 10:10:14 | System Event #0xff | PEF Action () | Asserted
  14 | 09/30/2022 | 10:10:46 | System Event #0xff | PEF Action () | Asserted
  15 | 10/20/2022 | 13:40:35 | Memory | Correctable ECC (@DIMMD1(CPU1)) | Asserted
  16 | 11/15/2022 | 11:23:11 | System Event #0xff | PEF Action () | Asserted
  17 | 11/15/2022 | 11:23:48 | System Event #0xff | PEF Action () | Asserted
  18 | 11/22/2022 | 10:07:45 | System Event #0xff | PEF Action () | Asserted
  19 | 11/22/2022 | 10:08:20 | System Event #0xff | PEF Action () | Asserted
  1a | 11/22/2022 | 10:09:00 | Unknown #0xff |  | Asserted
  1b | 01/05/2023 | 03:01:02 | System Event #0xff | PEF Action () | Asserted
  1c | 01/05/2023 | 03:01:38 | System Event #0xff | PEF Action () | Asserted
  1d | 01/24/2023 | 08:30:41 | Unknown #0xff |  | Asserted
  1e | 01/31/2023 | 11:28:21 | System Event #0xff | PEF Action () | Asserted
  1f | 01/31/2023 | 11:29:19 | System Event #0xff | PEF Action () | Asserted
  20 | 01/31/2023 | 11:30:25 | Unknown #0xff |  | Asserted
  21 | 01/31/2023 | 11:45:13 | Unknown #0xff |  | Asserted
  22 | 01/31/2023 | 11:51:32 | Unknown #0xff |  | Asserted
  23 | 01/31/2023 | 12:01:25 | Unknown #0xff |  | Asserted
  24 | 02/28/2023 | 11:00:53 | System Event #0xff | PEF Action () | Asserted
